"anzahl","userID","gwID","guildID"
6,"809739434537910283","1007352284923035751","903725994907693096"
1,"808410552166514698","1007352284923035751","903725994907693096"
26,"824378909985341451","1009858409895563265","925729625580113951"
4,"835782971235368960","1009858409895563265","925729625580113951"
265,"944309381720334417","1009031743308828712","973289734057132092"
16,"824378909985341451","1009860178881040465","925729625580113951"
1,"835782971235368960","1009860178881040465","925729625580113951"
15,"824378909985341451","1009860227702726706","925729625580113951"
50,"944309381720334417","1009864772440825958","973289734057132092"
1,"899977967042715700","1007339878478000221","957242463284764732"
91,"904666156772757524","1009031743308828712","973289734057132092"
58,"904666156772757524","1009864772440825958","973289734057132092"
10,"892431681020104724","1009031743308828712","973289734057132092"
9,"892431681020104724","1009864772440825958","973289734057132092"
1,"706964847341862912","1009031743308828712","973289734057132092"
1,"706964847341862912","1009864772440825958","973289734057132092"
2,"734831223041687603","1007339878478000221","957242463284764732"
63,"977962899848986674","1009795213285400666","996846430834659388"
28,"712343666949095504","1007339878478000221","957242463284764732"
45,"944309381720334417","1010101169646997504","973289734057132092"
11,"948565546742452284","1009795213285400666","996846430834659388"
63,"904666156772757524","1010101169646997504","973289734057132092"
16,"987246935343771668","1009031743308828712","973289734057132092"
14,"987246935343771668","1009864772440825958","973289734057132092"
14,"987246935343771668","1010101169646997504","973289734057132092"
28,"681768618886692876","1009031743308828712","973289734057132092"
25,"681768618886692876","1009864772440825958","973289734057132092"
27,"681768618886692876","1010101169646997504","973289734057132092"
13,"819549937889050624","1009795213285400666","996846430834659388"
10,"961327616399401061","1009795213285400666","996846430834659388"
2,"925836174642257922","1009031743308828712","973289734057132092"
2,"925836174642257922","1009864772440825958","973289734057132092"
2,"925836174642257922","1010101169646997504","973289734057132092"
24,"816228939621597204","1009031743308828712","973289734057132092"
7,"816228939621597204","1009864772440825958","973289734057132092"
8,"816228939621597204","1010101169646997504","973289734057132092"
9,"805180370260983858","1009795213285400666","996846430834659388"
13,"989404318086094898","1009031743308828712","973289734057132092"
3,"989404318086094898","1009864772440825958","973289734057132092"
3,"989404318086094898","1010101169646997504","973289734057132092"
14,"806833335933861888","1009795213285400666","996846430834659388"
1,"997185891737018480","1009031743308828712","973289734057132092"
1,"997185891737018480","1009864772440825958","973289734057132092"
1,"997185891737018480","1010101169646997504","973289734057132092"
1,"1000352371555184702","1009795213285400666","996846430834659388"
31,"892801792260309062","1009031743308828712","973289734057132092"
1,"892801792260309062","1010101169646997504","973289734057132092"
1,"588745740340297741","1008025851981471755","775145940020887572"
4,"840122604115329055","1009031743308828712","973289734057132092"
1,"840122604115329055","1010101169646997504","973289734057132092"
12,"961704409920835674","1007339878478000221","957242463284764732"
11,"899271873022545921","1008025851981471755","775145940020887572"
7,"554739282347032599","1008025851981471755","775145940020887572"
11,"539502259537444875","1008025851981471755","775145940020887572"
3,"825733838927691817","1008025851981471755","775145940020887572"
1,"961632869346865253","1007339878478000221","957242463284764732"
1,"964641105704534086","1007339878478000221","957242463284764732"
31,"840255542454124565","1009031743308828712","973289734057132092"
1,"840255542454124565","1010101169646997504","973289734057132092"
1,"501426952217952306","1008025851981471755","775145940020887572"
2,"972391186868355143","1008025851981471755","775145940020887572"
8,"444527555689840641","1008025851981471755","775145940020887572"
15,"586609553349672977","1008025851981471755","775145940020887572"
3,"970937815410020352","1009031743308828712","973289734057132092"
6,"534066337148829697","1009031743308828712","973289734057132092"
11,"980460716345683978","1009031743308828712","973289734057132092"
2,"886156516279869451","1009031743308828712","973289734057132092"
72,"909700322266607696","1009031743308828712","973289734057132092"
1,"810940243153780738","1007339878478000221","957242463284764732"
1,"647406289596579844","1007339878478000221","957242463284764732"
2,"660100489152561166","1009031743308828712","973289734057132092"
7,"403606660297261076","1009031743308828712","973289734057132092"
2,"823534232525471784","1010633809600979044","993465450484731925"
16,"694925888059605142","1007339878478000221","957242463284764732"
