"guildid","channelid"
"939171507005968414","939922157096542268"
"932289801242173481","952206594144366662"
"916429769007067157","940280572213886976"
"906867698447822889","978678297821065226"
"958290691212050455","958309682559221760"
"943483956664356894","943491512367472760"
"918191764312051793","970286936822513684"
"925729625580113951","926492845316141097"
"966811756376776724","970656914906173582"
"970706615441449020","970719260844380240"
"968162980946673756","971730861961670706"
"877291515838361690","967447804727402517"
"966978675251744779","973151634320404501"
"975513831394648074","975531228876902463"
"975466086730436628","977547386014564362"
"965566481322606592","977852785360007218"
"968909601422573638","974028280216838294"
"897900673931284530","978990118767562782"
"973984199545602148","973984201336586357"
"973289734057132092","988799715292360744"
"933706031517802536","960262228135792760"
"974804274414497802","985633422032654400"
"777886844334505995","990908882014593074"
"988321667522629683","988753616347201577"
"984828890755268639","991202436997980221"
"978345087912280104","987452410404421663"
"992167006033956874","992167641089310750"
"947423228933070910","992449856889159711"
"994332164768403596","994459263340646432"
"998203664822980738","999391778702622780"
"1000366079211753552","1000408885171073044"
"951776421355868231","1000682012480389220"
"983384134439292938","987079362341912606"
"996816540806696980","996849562536910958"
"806125679124414474","948471411264069642"
"1002497204008783922","1002497204113649720"
"1007672670323753040","1009218896542322698"
"1012742150972252221","1012743708321529957"
"1009437873008816138","1013041514810703882"
"983348899525828638","1008416764448747563"
"768228694736371732","1018124164223213569"
"1020315515111100476","1020315519875813448"
"1019243091267424287","1019332841760378950"
"1000066513333661736","1018637812037324811"
"810089469314990101","1022187534979186750"
"1023539601920507904","1023550919071240243"
"1044625104379858944","1097122028894560306"
"1096705029341188147","1101135971011006594"
"1079807502113316896","1087762428999249940"
"1079129456410632353","1079149138916155423"
"1057425944807211050","1083103620230299809"
"1061626312931942421","1061626313720479747"
