"guildid","channelid"
"939171507005968414","939922157096542268"
"932289801242173481","952206594144366662"
"916429769007067157","940280159393697852"
"958290691212050455","958309922871844884"
"918191764312051793","970286956514787339"
"925729625580113951","926458392959156224"
"966811756376776724","970657017876332584"
"970706615441449020","970719264271134760"
"968162980946673756","971730596596424734"
"950042849133592606","972464459551494194"
"877291515838361690","972542624504361010"
"966978675251744779","973151634320404501"
"975466086730436628","977547386014564362"
"965566481322606592","977852920513064980"
"906867698447822889","978678297821065226"
"968909601422573638","974028037299519518"
"897900673931284530","978990118767562782"
"973984199545602148","973984201336586357"
"984083592110039120","984132909747306628"
"973289734057132092","988799715292360744"
"984828890755268639","991197681055698944"
"978345087912280104","991308918192095352"
"992167006033956874","992167641089310750"
"947423228933070910","992449856889159711"
"994332164768403596","994459221577957446"
"998203664822980738","999391778702622780"
"951776421355868231","1000682012480389220"
